OrderNumber;OrderDate;ShipDate;EmployeeIdentifier;EmployeeFirstName;EmployeeLastName;CustomerAccountNumber;CustomerFirstName;CustomerLastName;CustomerAddr;CustomerCity;CustomerCountry;SaleAmount;SaleCost
O-1029;26/05/2018;27/05/2018;E-279;Tsvi;Reiter;C-29549;Shane;Belli;78025 E. Mercy Island Cswy;Merritt Island;US;20645,634;16167,59
O-1030;27/05/2018;27/05/2018;E-282;José;Saraiva;C-29994;Robin;McGuigan;2500 University Avenue;Toronto;CA;28832,5289;22480,72
O-1031;28/05/2018;01/06/2018;E-279;Tsvi;Reiter;C-29849;Barbara;Hoffman;Dadeland Mall, Space 25090;Miami;US;419,4589;229,44
O-1032;28/05/2018;31/05/2018;E-282;José;Saraiva;C-29734;Jauna;Elson;2573 Dufferin Street;Toronto;CA;32726,4786;21805,65
O-1033;28/05/2018;30/05/2018;E-275;Michael;Blythe;C-29759;Judith;Frazier;Tree Plaza;Braintree;US;3875,7229;3228,09
O-1034;28/05/2018;01/06/2018;E-275;Michael;Blythe;C-29533;Douglas;Baldwin;Horizon Outlet Center;Holland;US;1297,5901;734,83
O-1035;28/05/2018;31/05/2018;E-279;Tsvi;Reiter;C-29825;James;Hendergart;42525 Austell Road;Austell;US;20565,6206;16540,93
O-1036;31/05/2018;03/06/2018;E-279;Tsvi;Reiter;C-29672;Takiko;Collins;6055 Shawnee Industrial Way;Suwanee;US;1294,2529;1048,34
O-1037;31/05/2018;10/06/2018;E-281;Shu;Ito;C-29889;Jean;Jordan;440 West Huntington Dr.;Monrovia;US;9799,9243;3613,23
O-1038;31/05/2018;02/06/2018;E-280;Pamela;Ansman-Wolfe;C-29898;Sandeep;Katyal;765 Delridge Way Sw;Seattle;US;24432,6088;19013,46
O-1039;01/07/2018;04/07/2018;E-278;Garrett;Vargas;C-29705;Della;Demott Jr;25575 The Queensway;Etobicoke;CA;50948,9161;41355,24
O-1040;01/07/2018;04/07/2018;E-275;Michael;Blythe;C-29961;John;Long;6900 William Richardson Ct.;South Bend;US;13694,3494;8226,2
O-1041;01/07/2018;03/07/2018;E-280;Pamela;Ansman-Wolfe;C-29742;Twanna;Evans;Lewis County Mall;Chehalis;US;32459,9278;19323,4
O-1042;01/07/2018;03/07/2018;E-275;Michael;Blythe;C-29688;Grant;Culbertson;399700 John R. Rd.;Madison Heights;US;4049,988;3590,72
O-1044;02/07/2018;06/07/2018;E-280;Pamela;Ansman-Wolfe;C-29617;Lindsey;Camacho;S Sound Ctr Suite 25300;Lacey;US;19734,8665;17494,96
O-1045;02/07/2018;06/07/2018;E-283;David;Campbell;C-29885;David;Johnson;7990 Ocean Beach Hwy.;Longview;US;21356,1593;17890,06
O-1046;02/07/2018;04/07/2018;E-280;Pamela;Ansman-Wolfe;C-29582;Ted;Bremer;Bldg. 9n/99298;Redmond;US;32673,0446;16107,81
O-1047;03/07/2018;06/07/2018;E-283;David;Campbell;C-29787;Scott;Gode;2583 Se 272nd St;Kent;US;25493,3215;16160,22
O-1048;03/07/2018;07/07/2018;E-276;Linda;Mitchell;C-29865;Lucio;Iallo;Simi @ The Plaza;Simi Valley;US;3911,5991;3047,92
O-1049;04/07/2018;08/07/2018;E-282;José;Saraiva;C-29905;Elizabeth;Keyser;6400, 888 - 3rd Avenue;Calgary;CA;419,4589;260,9
O-1050;05/07/2018;07/07/2018;E-275;Michael;Blythe;C-29509;Michael;Allen;Lake Region Factory Outlet;Tilton;US;6783,7679;4619,75
O-1051;05/07/2018;08/07/2018;E-277;Jillian;Carson;C-29906;Imtiaz;Khan;25095 W. Florissant;Ferguson;US;11942,5965;10054,47
O-1052;06/07/2018;10/07/2018;E-279;Tsvi;Reiter;C-29880;Samuel;Johnson;Carolina Factory Shops;Gaffney;US;34628,298;25313,29
O-1053;06/07/2018;08/07/2018;E-279;Tsvi;Reiter;C-29507;Phyllis;Allen;Gulfport Factory Shops;Gulfport;US;52803,4477;44191,21
O-1054;06/07/2018;10/07/2018;E-280;Pamela;Ansman-Wolfe;C-30004;Nkenge;McLin;Frontier Mall;Cheyenne;US;32492,604;26855,13
O-1055;06/07/2018;08/07/2018;E-282;José;Saraiva;C-30074;Yuping;Tian;Depot 80;Sillery;CA;7186,5371;4579,26
O-1056;07/07/2018;11/07/2018;E-277;Jillian;Carson;C-30095;Sunil;Uppal;25500 Old Spanish Trail;Houston;US;11361,2706;8822,03
O-1057;08/07/2018;10/07/2018;E-277;Jillian;Carson;C-29764;John;Ford;23025 S.W. Military Rd.;San Antonio;US;1718,8983;1240,53
O-1058;08/07/2018;12/07/2018;E-279;Tsvi;Reiter;C-29945;Gloria;Lesko;9876 Fruitville Rd;Sarasota;US;31000,7804;16814,82
O-1059;09/07/2018;11/07/2018;E-278;Garrett;Vargas;C-29830;Kari;Hensien;253131 Lake Frasier Drive, Office No. 2;Calgary;CA;2082,6748;827,86
O-1060;09/07/2018;13/07/2018;E-276;Linda;Mitchell;C-29853;Juanita;Holman;Lake Elisnor Place;Lake Elsinore;US;13078,2699;10117,35
O-1061;09/07/2018;11/07/2018;E-276;Linda;Mitchell;C-30107;Margaret;Vanderkamp;62500 Neil Road;Reno;US;49193,9864;24783,93
O-1062;09/07/2018;20/07/2018;E-282;José;Saraiva;C-29680;Dorothy;Contreras;Suite 25800 3401 - 10810th Avenue;Surrey;CA;2036,394;844,69
O-1063;09/07/2018;11/07/2018;E-277;Jillian;Carson;C-29774;Darren;Gehring;509 Nafta Boulevard;Laredo;US;36724,0974;20033
O-1064;09/07/2018;11/07/2018;E-279;Tsvi;Reiter;C-29888;Brannon;Jones;3990 Silas Creek Parkway;Winston-Salem;US;8580,0739;5746,07
O-1065;09/07/2018;10/07/2018;E-282;José;Saraiva;C-29988;Steve;Masters;2545 King Street West;Toronto;CA;1749,588;1456,88
O-1066;10/07/2018;12/07/2018;E-276;Linda;Mitchell;C-29901;John;Kelly;Pacific West Outlet;Gilroy;US;22717,5954;14330,26
O-1067;10/07/2018;12/07/2018;E-282;José;Saraiva;C-29813;Katherine;Harding;52560 Free Street;Toronto;CA;26354,922;21313,22
O-1068;10/07/2018;14/07/2018;E-279;Tsvi;Reiter;C-29624;Joseph;Cantoni;25631 Florida Mall Ave.;Orlando;US;121761,9396;73385,92
O-1069;11/07/2018;16/07/2018;E-275;Michael;Blythe;C-29724;Bernard;Duerr;Connecticut Post Mall;Milford;US;18320,6894;17043,74
O-1070;11/07/2018;14/07/2018;E-279;Tsvi;Reiter;C-29968;Helen;Lutes;Po Box 2257;Greensboro;US;20,1865;11,85
O-1071;11/07/2018;15/07/2018;E-278;Garrett;Vargas;C-29539;Josh;Barnhill;25 First Canadian Place;Toronto;CA;908,8209;664,62
O-1072;12/07/2018;15/07/2018;E-274;Stephen;Jiang;C-29818;Roger;Harui;9927 N. Main St.;Tooele;US;20544,7015;17029,5
O-1073;12/07/2018;18/07/2018;E-277;Jillian;Carson;C-29861;Phyllis;Huntsman;City Center;Minneapolis;US;115696,3313;82179,1
O-1074;12/07/2018;14/07/2018;E-276;Linda;Mitchell;C-30056;Clarence;Tatman;San Diego Factory;San Ysidro;US;38474,3572;31006,49
O-1075;12/07/2018;15/07/2018;E-279;Tsvi;Reiter;C-29493;Ronald;Adina;Hilton Head Factory Outlets No. 25;Bluffton;US;419,4589;265,39
O-1076;13/07/2018;24/07/2018;E-282;José;Saraiva;C-29620;Joan;Campbell;P.O. Box 44000;Winnipeg;CA;20249,94;11797,62
O-1077;13/07/2018;15/07/2018;E-282;José;Saraiva;C-29855;Curtis;Howard;6th Floor, 25st Canadian Place;Toronto;CA;2024,994;1636,6
O-1078;13/07/2018;15/07/2018;E-282;José;Saraiva;C-29794;Derek;Graham;655-4th Ave S.W.;Calgary;CA;14432,8174;8114,13
O-1079;17/07/2018;20/07/2018;E-280;Pamela;Ansman-Wolfe;C-29925;Margaret;Krupka;Great Northwestern;North Bend;US;20628,5745;13008,38
O-1080;17/07/2018;20/07/2018;E-279;Tsvi;Reiter;C-29963;Spencer;Low;2550 High Street;La Vergne;US;19411,9336;15415,01
O-1081;17/07/2018;19/07/2018;E-276;Linda;Mitchell;C-29703;Stefan;Delmarco;Incom Sports Center;Ontario;US;41250,4391;38053,53
O-1082;18/07/2018;21/07/2018;E-277;Jillian;Carson;C-29569;Linda;Burnett;2505 Gateway Drive;North Sioux City;US;419,4589;206,58
O-1083;19/07/2018;25/07/2018;E-275;Michael;Blythe;C-29664;Gina;Clark;123 Union Square South;New York;US;4079,988;3378,23
O-1084;19/07/2018;22/07/2018;E-276;Linda;Mitchell;C-29522;Thomas;Armstrong;Fox Hills;Culver City;US;51235,0091;25766,09
O-1085;19/07/2018;23/07/2018;E-283;David;Campbell;C-29717;Cindy;Dodd;994 Sw Cherry Park Rd;Troutdale;US;18269,946;13713,42
O-1086;19/07/2018;21/07/2018;E-278;Garrett;Vargas;C-29946;Linda;Leste;630 University Avenue;Toronto;CA;10993,3516;5225,14
O-1087;20/07/2018;23/07/2018;E-282;José;Saraiva;C-29807;Bryan;Hamilton;Station E;Chalk Riber;CA;32569,104;24941,42
O-1088;20/07/2018;21/07/2018;E-275;Michael;Blythe;C-29731;Carla;Eldridge;Washington Square Ii;Indianapolis;US;2561,5408;1897,84
O-1089;20/07/2018;22/07/2018;E-281;Shu;Ito;C-29521;Tom;Johnston;Belz Factory Outlet;Las Vegas;US;8152,776;5973,54
O-1090;20/07/2018;24/07/2018;E-280;Pamela;Ansman-Wolfe;C-29773;Orlando;Gee;2251 Elliot Avenue;Seattle;US;10993,3942;9438,92
O-1092;21/07/2018;24/07/2018;E-277;Jillian;Carson;C-30117;Robert;Vessa;72540 Blanco Rd.;San Antonio;US;13196,0548;9385,03
O-1093;22/07/2018;25/07/2018;E-276;Linda;Mitchell;C-30100;Jessie;Valerio;Mall Of Orange;Orange;US;11584,459;7418,69
O-1094;22/07/2018;25/07/2018;E-281;Shu;Ito;C-29716;Blaine;Dockter;99000 S. Avalon Blvd. Suite 750;Carson;US;16544,5461;11273,46
O-1095;22/07/2018;25/07/2018;E-275;Michael;Blythe;C-29791;Linda;Gonzales;250 E. County Line Rd.;Indianapolis;US;14660,3024;8535,23
O-1096;23/07/2018;27/07/2018;E-282;José;Saraiva;C-29698;Jacob;Dean;#9900 2700 Production Way;Burnaby;CA;17358,0101;13823,92
O-1097;23/07/2018;27/07/2018;E-278;Garrett;Vargas;C-29515;Maxwell;Amland;Suite 99320 255 - 510th Avenue S.W.;Calgary;CA;75191,9599;59296,38
O-1098;24/07/2018;27/07/2018;E-282;José;Saraiva;C-29510;Cecil;Allison;254 Colonnade Road;Nepean;CA;21718,7639;11728,13
O-1099;24/07/2018;26/07/2018;E-277;Jillian;Carson;C-29523;John;Arthur;2345 North Freeway;Houston;US;32971,323;27834,39
O-1100;24/07/2018;27/07/2018;E-282;José;Saraiva;C-30042;Ruby Sue;Styles;46990 Viking Way;Richmond;CA;2146,962;1598,41
O-1101;25/07/2018;27/07/2018;E-276;Linda;Mitchell;C-29511;Oscar;Alpuerto;Rocky Mountain Pines Outlet;Loveland;US;39450,7884;31509,35
O-1102;25/07/2018;25/07/2018;E-278;Garrett;Vargas;C-29548;Ann;Beebe;25537 Hillside Avenue;Victoria;CA;919,5201;846,33
O-1103;25/07/2018;27/07/2018;E-277;Jillian;Carson;C-29866;Richard;Irwin;99828 Routh Street, Suite 825;Dallas;US;4345,8268;3633,11
O-1104;25/07/2018;29/07/2018;E-280;Pamela;Ansman-Wolfe;C-29571;Gabriel;Bockenkamp;67 Rainer Ave S;Renton;US;4076,388;2976,17
O-1105;26/07/2018;28/07/2018;E-279;Tsvi;Reiter;C-29749;Hanying;Feng;Savannah Festival Outlet;Savannah;US;23401,1062;22088,31
O-1106;27/07/2018;31/07/2018;E-278;Garrett;Vargas;C-29789;Brian;Goldstein;965 De La Gauchetiere West;Montreal;CA;15479,55;10060,16
O-1107;27/07/2018;31/07/2018;E-281;Shu;Ito;C-30076;Diane;Tibbott;8525 South Parker Road;Parker;US;9398,8972;5145,9
O-1108;28/07/2018;01/08/2018;E-275;Michael;Blythe;C-29675;Aaron;Con;58 Teed Drive;Randolph;US;4316,9864;1805,8
O-1109;28/07/2018;30/07/2018;E-276;Linda;Mitchell;C-29757;Garth;Fort;3250 Baldwin Park Blvd;Baldwin Park;US;68,4;47,67
O-1110;29/07/2018;02/08/2018;E-282;José;Saraiva;C-29558;John;Berger;5700 Explorer Drive;Mississauga;CA;2024,994;1098,56
O-1111;30/07/2018;01/08/2018;E-275;Michael;Blythe;C-29955;David;Liu;855 East Main Avenue;Zeeland;US;32940,1556;24421,83
O-1112;31/07/2018;02/08/2018;E-279;Tsvi;Reiter;C-29846;Douglas;Hite;32525 Hollywood Blvd.;Hollywood;US;9880,2666;7994,13
O-1113;31/07/2018;04/08/2018;E-282;José;Saraiva;C-29892;Sandra;Kitt;258 King Street East;Toronto;CA;10183,7952;7732,56
O-1114;01/08/2018;05/08/2018;E-283;David;Campbell;C-29497;François;Ferrier;Eastridge Mall;Casper;US;12372,7773;9732,43
O-1115;02/08/2018;05/08/2018;E-276;Linda;Mitchell;C-29525;Teresa;Atkinson;The Citadel Commerce Plaza;City Of Commerce;US;66848,3878;27728,71
O-1116;02/08/2018;05/08/2018;E-283;David;Campbell;C-29580;Richard;Bready;4251 First Avenue;Seattle;US;87867,8426;65487,9
O-1117;03/08/2018;05/08/2018;E-279;Tsvi;Reiter;C-29549;Shane;Belli;78025 E. Mercy Island Cswy;Merritt Island;US;34250,3603;24780,14
O-1118;03/08/2018;07/08/2018;E-282;José;Saraiva;C-29994;Robin;McGuigan;2500 University Avenue;Toronto;CA;43749,2686;30283,24
O-1119;04/08/2018;08/08/2018;E-275;Michael;Blythe;C-29592;Kevin;Browne;9975 Union St.;Waterbury;US;844,1043;772,77
O-1120;04/08/2018;06/08/2018;E-281;Shu;Ito;C-29897;Kay;Krane;Prime Outlets;Phoenix;US;12499,4471;8042,15
O-1121;04/08/2018;07/08/2018;E-278;Garrett;Vargas;C-29755;Kelly;Focht;5990 Avebury Road;Mississauga;CA;4079,988;3097,94
O-1122;04/08/2018;04/08/2018;E-282;José;Saraiva;C-29734;Jauna;Elson;2573 Dufferin Street;Toronto;CA;40341,1056;26915,59
O-1123;05/08/2018;11/08/2018;E-282;José;Saraiva;C-29614;Ryan;Calafato;254480 River Rd;Richmond;CA;43803,1432;33448,08
O-1124;05/08/2018;08/08/2018;E-278;Garrett;Vargas;C-29649;Pat;Chambers;30025 Wayburne Drive, Suite 275;Burnaby;CA;32444,904;19878,99
O-1125;05/08/2018;07/08/2018;E-283;David;Campbell;C-29747;Carolyn;Farino;3250 South Meridian;Puyallup;US;4509,8996;2200,83
O-1126;05/08/2018;07/08/2018;E-279;Tsvi;Reiter;C-30068;James;Thomas;42500 West Park Drive;Atlanta;US;419,4589;306,96
O-1127;05/08/2018;07/08/2018;E-275;Michael;Blythe;C-29487;Humberto;Acevedo;Johnny Appleseed Shop.center;Mansfield;US;20514,2859;12372,17
O-1128;06/08/2018;08/08/2018;E-282;José;Saraiva;C-29714;Rudolph;Dillon;595 Burning Street;Vancouver;CA;6105,3293;3007,49
O-1129;06/08/2018;07/08/2018;E-279;Tsvi;Reiter;C-29518;Sabria;Appelbaum;Turfway Retail Center;Florence;US;4064,988;2814,6
O-1130;06/08/2018;10/08/2018;E-283;David;Campbell;C-29606;Karren;Burkhardt;2502 Evergreen Ste E;Everett;US;2097,2945;1102,76
O-1131;07/08/2018;07/08/2018;E-281;Shu;Ito;C-29992;Sandra;Maynard;9952 E. Lohman Ave.;Las Cruces;US;33919,0748;27372,69
O-1132;08/08/2018;10/08/2018;E-281;Shu;Ito;C-29842;Mike;Hines;25250 N 90th St;Scottsdale;US;419,4589;313,59
O-1133;08/08/2018;08/08/2018;E-281;Shu;Ito;C-29489;Frances;Adams;6900 Sisk Road;Modesto;US;29479,3877;26440,06
O-1134;08/08/2018;10/08/2018;E-279;Tsvi;Reiter;C-29825;James;Hendergart;42525 Austell Road;Austell;US;18880,6522;11570,06
O-1135;08/08/2018;11/08/2018;E-277;Jillian;Carson;C-30106;Michael;Vanderhyde;Lincoln Square;Arlington;US;16185,4292;9364,89
O-1136;09/08/2018;11/08/2018;E-277;Jillian;Carson;C-29708;Prashanth;Desai;Sapp Road West;Round Rock;US;10680,7251;6898,68
O-1137;09/08/2018;12/08/2018;E-275;Michael;Blythe;C-29966;Richard;Lum;Attn: Accounts Payable;Melville;US;55699,8037;33976,88
O-1138;09/08/2018;13/08/2018;E-283;David;Campbell;C-29622;Henry;Campen;2507 Pacific Ave S;Tacoma;US;28045,3358;14765,87
O-1139;09/08/2018;11/08/2018;E-275;Michael;Blythe;C-29718;John;Donovan;42522 Northrupp;Fort Wayne;US;26037,0214;22519,42
O-1140;10/08/2018;13/08/2018;E-274;Stephen;Jiang;C-29803;Hattie;Haemon;55 Lakeshore Blvd East;Toronto;CA;2039,994;1624,24
O-1141;10/08/2018;11/08/2018;E-277;Jillian;Carson;C-29646;Stacey;Cereghino;220 Mercy Drive;Garland;US;42088,8187;38536,52
O-1142;10/08/2018;12/08/2018;E-281;Shu;Ito;C-29834;Cheryl;Herring;Corp Ofc Accts Payable;El Segundo;US;49096,1075;29850,43
O-1143;10/08/2018;13/08/2018;E-282;José;Saraiva;C-29639;Joseph;Castellucio;2511 Baker Road;Toronto;CA;20644,2343;12601,24
O-1144;11/08/2018;15/08/2018;E-280;Pamela;Ansman-Wolfe;C-29921;Joy;Koski;258101 Nw Evergreen Parkway;Beaverton;US;13837,0855;8424,02
O-1145;11/08/2018;15/08/2018;E-276;Linda;Mitchell;C-29938;Frank;Campbell;251340 E. South St.;Cerritos;US;40510,3042;25529,59
O-1147;12/08/2018;14/08/2018;E-281;Shu;Ito;C-29562;Steven;Brown;5500 Grossmont Center Drive;La Mesa;US;91014,7853;57202,8
O-1148;12/08/2018;16/08/2018;E-279;Tsvi;Reiter;C-29681;Patrick;Cook;25 Myrtle Beach;Myrtle Beach;US;3513,9448;2494,9
O-1149;12/08/2018;14/08/2018;E-282;José;Saraiva;C-29494;Samuel;Agcaoili;No. 25800-130 King Street West;Toronto;CA;8129,976;4760,92
O-1150;12/08/2018;23/08/2018;E-283;David;Campbell;C-29632;Jovita;Carmody;253950 N.E. 178th Place;Woodinville;US;26447,022;15095,96
O-1151;13/08/2018;16/08/2018;E-282;José;Saraiva;C-29740;Martha;Espinoza;6700 Boul Taschereau;Brossard;CA;11641,3209;6562,21
O-1152;13/08/2018;17/08/2018;E-277;Jillian;Carson;C-30090;Christie;Trujillo;One Dancing, Rr No. 25;Round Rock;US;4075,0341;3148,78
O-1153;13/08/2018;17/08/2018;E-281;Shu;Ito;C-29889;Jean;Jordan;440 West Huntington Dr.;Monrovia;US;31624,7504;27896,19
O-1154;14/08/2018;14/08/2018;E-277;Jillian;Carson;C-29486;Kim;Abercrombie;Tanger Factory;Branch;US;16667,3077;6671,92
O-1155;14/08/2018;17/08/2018;E-281;Shu;Ito;C-29914;Christian;Kleinerman;25150 El Camino Real;San Bruno;US;4492,7043;3409,96
O-1156;14/08/2018;18/08/2018;E-275;Michael;Blythe;C-29655;Nicky;Chesnut;9920 North Telegraph Rd.;Pontiac;US;8129,976;6521,87
O-1157;14/08/2018;23/08/2018;E-275;Michael;Blythe;C-29491;Carla;Adams;Leesburg Premium Outlet Centre;Leesburg;US;21090,7731;15273,94
O-1158;14/08/2018;14/08/2018;E-279;Tsvi;Reiter;C-29849;Barbara;Hoffman;Dadeland Mall, Space 25090;Miami;US;2146,962;1646,29
O-1159;14/08/2018;16/08/2018;E-275;Michael;Blythe;C-29746;Fadi;Fakhouri;Cherry Grove Plaza;Cincinnati;US;33478,9114;23753,29
O-1160;15/08/2018;19/08/2018;E-276;Linda;Mitchell;C-29733;Shannon;Elliott;Factory Stores/tucson;Tucson;US;11,4;10,75
O-1161;15/08/2018;19/08/2018;E-278;Garrett;Vargas;C-29577;Lester;Bowman;770 Notre Datme Quest Bureau 800;Montreal;CA;3814,3435;2774,17
O-1162;15/08/2018;18/08/2018;E-276;Linda;Mitchell;C-29673;John;Colon;77 Beale Street;San Francisco;US;2097,2945;1745,36
O-1163;15/08/2018;17/08/2018;E-275;Michael;Blythe;C-29498;Kim;Akers;Granite State Marketplace;Hooksett;US;874,794;704,99
O-1164;16/08/2018;19/08/2018;E-277;Jillian;Carson;C-29872;Jodan;Jacobson;6030 Robinson Road;Jefferson City;US;2604,0653;1988,73
O-1165;16/08/2018;19/08/2018;E-276;Linda;Mitchell;C-29710;Brenda;Diaz;2560 E. Newlands Dr;Fernley;US;64713,9547;61051,14
O-1166;16/08/2018;25/08/2018;E-279;Tsvi;Reiter;C-29958;Run;Liu;100 Fifth Drive;Millington;US;37499,5521;33258,35
O-1167;16/08/2018;26/08/2018;E-277;Jillian;Carson;C-29974;Scott;MacDonald;St. Louis Marketplace;Saint Louis;US;16292,052;14104,03
O-1168;16/08/2018;20/08/2018;E-282;José;Saraiva;C-29596;Eric;Brumfield;600 Slater Street;Ottawa;CA;9475,5306;7459,14
O-1169;17/08/2018;22/08/2018;E-275;Michael;Blythe;C-29811;Mark;Hanson;9920 Picketts Line Road;Newport News;US;10231,4699;9334,17
O-1170;17/08/2018;28/08/2018;E-277;Jillian;Carson;C-29659;Ruth;Choin;7760 N. Pan Am Expwy;San Antonio;US;6654,7023;5390,97
O-1171;17/08/2018;20/08/2018;E-282;José;Saraiva;C-29722;Reuben;D'sa;9950 Ferrand Drive, 9th Floor;Toronto;CA;73761,5266;60351,68
O-1172;17/08/2018;21/08/2018;E-282;José;Saraiva;C-30067;Phyllis;Thomas;99, Rue Saint-pierre;Pnot-Rouge;CA;62068,8727;45167,52
O-1173;18/08/2018;20/08/2018;E-275;Michael;Blythe;C-29759;Judith;Frazier;Tree Plaza;Braintree;US;7758,1202;5233,63
O-1174;18/08/2018;26/08/2018;E-277;Jillian;Carson;C-29827;Valerie;Hendricks;Kansas City Factory Outlet;Odessa;US;32383,1098;25508,18
O-1175;18/08/2018;21/08/2018;E-279;Tsvi;Reiter;C-29912;Russell;King;Bay Area Outlet Mall;Clearwater;US;27612,424;20159,83
O-1176;19/08/2018;23/08/2018;E-279;Tsvi;Reiter;C-30088;David;Trolen;770 South Point Dr;Memphis;US;18542,1726;17392,56
O-1177;19/08/2018;21/08/2018;E-281;Shu;Ito;C-29682;Scott;Cooper;Pavillion @ Redlands;Redlands;US;3846,8825;2517,01
O-1178;19/08/2018;23/08/2018;E-275;Michael;Blythe;C-29533;Douglas;Baldwin;Horizon Outlet Center;Holland;US;3785,5031;2215,27
O-1179;20/08/2018;24/08/2018;E-279;Tsvi;Reiter;C-29484;Gustavo;Achong;Mall Of Memphis;Memphis;US;4049,988;3031,42
O-1180;21/08/2018;25/08/2018;E-282;José;Saraiva;C-29711;Gabriele;Dickmann;250551 Shellbridge Way;Richmond;CA;4079,988;3101,2
O-1181;21/08/2018;23/08/2018;E-280;Pamela;Ansman-Wolfe;C-29898;Sandeep;Katyal;765 Delridge Way Sw;Seattle;US;57739,7358;44401,86
O-1182;21/08/2018;25/08/2018;E-275;Michael;Blythe;C-29973;Denise;Maccietto;Port Huron;Port Huron;US;3432,6101;2380,17
O-1183;22/08/2018;23/08/2018;E-282;José;Saraiva;C-29950;Yale;Li;992 St Clair Ave East;Toronto;CA;37536,9632;23809,69
